epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.74780273,0.7324276,0.0060810796,8,0,0
200,0.79833984,0.78586006,0.0054725786,8,0,0
300,0.85913086,0.84496117,0.005749499,8,0,0
400,0.892334,0.87905693,0.0049757804,8,0,0
500,0.9116211,0.9017067,0.0040593236,8,0,0
600,0.9313965,0.9218483,0.0042453706,8,0,0
700,0.94091797,0.93271637,0.004021545,8,0,0
800,0.9523926,0.9432888,0.0033865094,8,0,0
900,0.95825195,0.94834137,0.002917812,8,0,0
1000,0.95703125,0.950037,0.0028604574,8,0,0
1100,0.96240234,0.953907,0.0028514524,8,0,0
1200,0.9628906,0.9537983,0.002962838,8,0,0
1300,0.9597168,0.9532318,0.0028007673,8,0,0
1400,0.9641113,0.95365334,0.003228491,8,0,0
1500,0.9614258,0.9538498,0.0027372306,8,0,0
1600,0.96118164,0.9534569,0.0029989223,8,0,0
1700,0.9626465,0.95329285,0.0029717837,8,0,0
1800,0.96069336,0.953846,0.0027580631,8,0,0
1900,0.9626465,0.95318794,0.0028015145,8,0,0
2000,0.95947266,0.95375633,0.002833952,8,0,0
2100,0.96191406,0.95399284,0.0027852715,8,0,0
2200,0.95996094,0.95326424,0.0032198115,8,0,0
2300,0.9616699,0.953455,0.0029315287,8,0,0
2400,0.9604492,0.95420074,0.0029343627,8,0,0
2500,0.9614258,0.9539547,0.00267953,8,0,0
2600,0.9616699,0.9537754,0.0028902057,8,0,0
2700,0.9616699,0.95350266,0.0029758723,8,0,0
2800,0.9616699,0.9537296,0.0027582494,8,0,0
2900,0.9638672,0.95373917,0.003138564,8,0,0
3000,0.9602051,0.95409584,0.002690824,8,0,0
3100,0.9626465,0.9536705,0.0028086924,8,0,0
3200,0.9604492,0.9537544,0.0033200558,8,0,0
3300,0.95996094,0.9533539,0.0025772,8,0,0
3400,0.9597168,0.95355225,0.0026884929,8,0,0
3500,0.9602051,0.9534683,0.002873427,8,0,0
3600,0.9597168,0.9535656,0.0026800025,8,0,0
3700,0.9621582,0.9538307,0.0030201974,8,0,0
3800,0.9616699,0.95401,0.0029986529,8,0,0
3900,0.95996094,0.9528923,0.0029079681,8,0,0
4000,0.9592285,0.9534092,0.0023472316,8,0,0
4100,0.95996094,0.9536934,0.002839629,8,0,0
4200,0.9614258,0.9535408,0.0027927102,8,0,0
4300,0.9628906,0.9536514,0.0029743975,8,0,0
4400,0.96191406,0.95358276,0.0029614633,8,0,0
4500,0.9628906,0.9534111,0.002716769,8,0,0
4600,0.9609375,0.95373726,0.0028355075,8,0,0
4700,0.9621582,0.95329857,0.0028974267,8,0,0
4800,0.9614258,0.9534168,0.0032071138,8,0,0
