epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.74243164,0.7285919,0.006370485,8,0,0
200,0.80810547,0.794014,0.0058468794,8,0,0
300,0.86157227,0.8503761,0.0051823957,8,0,0
400,0.90112305,0.8885212,0.005070339,8,0,0
500,0.93237305,0.91854095,0.004191302,8,0,0
600,0.939209,0.93029976,0.0038148186,8,0,0
700,0.9458008,0.9347782,0.003913049,8,0,0
800,0.94262695,0.93606186,0.0027589705,8,0,0
900,0.9458008,0.9365845,0.0032999932,8,0,0
1000,0.94506836,0.93693733,0.0035183416,8,0,0
1100,0.94873047,0.94003105,0.0033692387,8,0,0
1200,0.9511719,0.9439621,0.002905898,8,0,0
1300,0.95288086,0.9450321,0.0032108913,8,0,0
1400,0.953125,0.9475651,0.0027391482,8,0,0
1500,0.95532227,0.9477272,0.0028437462,8,0,0
1600,0.9562988,0.9490051,0.002759437,8,0,0
1700,0.9584961,0.95113754,0.00302012,8,0,0
1800,0.9597168,0.9521904,0.002876613,8,0,0
1900,0.9597168,0.9525795,0.0029722122,8,0,0
2000,0.95947266,0.9523678,0.0030648278,8,0,0
2100,0.9602051,0.95292854,0.0028859782,8,0,0
2200,0.96362305,0.9531479,0.0031904283,8,0,0
2300,0.9589844,0.9520798,0.0029336484,8,0,0
2400,0.95947266,0.95274734,0.002969293,8,0,0
2500,0.96484375,0.95303535,0.003083917,8,0,0
2600,0.96191406,0.95261,0.0026919954,8,0,0
2700,0.96069336,0.95246506,0.0029790783,8,0,0
2800,0.9592285,0.95285034,0.0026846798,8,0,0
2900,0.9597168,0.95207596,0.0030510495,8,0,0
3000,0.96118164,0.9523659,0.0030756562,8,0,0
3100,0.9584961,0.9523411,0.0029136937,8,0,0
3200,0.9604492,0.9529133,0.0028390156,8,0,0
3300,0.9602051,0.9527664,0.0033540106,8,0,0
3400,0.9589844,0.95269585,0.0025916134,8,0,0
3500,0.9584961,0.9523525,0.0027785706,8,0,0
3600,0.96069336,0.9529953,0.0030872475,8,0,0
3700,0.9602051,0.9523411,0.0029828728,8,0,0
3800,0.9604492,0.95313644,0.0031099282,8,0,0
3900,0.95947266,0.952858,0.0026999759,8,0,0
4000,0.9614258,0.9530163,0.0027974495,8,0,0
4100,0.95874023,0.9525604,0.0027400893,8,0,0
4200,0.9604492,0.95269775,0.0033205312,8,0,0
4300,0.9597168,0.9525738,0.002639946,8,0,0
4400,0.9597168,0.95308876,0.0028919473,8,0,0
4500,0.96069336,0.9527817,0.0030802258,8,0,0
4600,0.95947266,0.9523163,0.0031173897,8,0,0
4700,0.9597168,0.95272255,0.0031219926,8,0,0
4800,0.9604492,0.95266724,0.002733496,8,0,0
4900,0.9589844,0.95222664,0.0025873312,8,0,0
5000,0.9589844,0.9525242,0.0027362034,8,0,0
5100,0.96191406,0.9524975,0.0032832548,8,0,0
5200,0.96240234,0.9526787,0.0028388088,8,0,0
5300,0.96069336,0.9523983,0.0031040236,8,0,0
5400,0.9589844,0.9524441,0.002645128,8,0,0
5500,0.9589844,0.9521084,0.0029431314,8,0,0
5600,0.9604492,0.9526367,0.0029426923,8,0,0
5700,0.9597168,0.9527836,0.0029876598,8,0,0
5800,0.9616699,0.9525986,0.0032621617,8,0,0
5900,0.96118164,0.9527931,0.0031451965,8,0,0
6000,0.9614258,0.9528408,0.0032408712,8,0,0
6100,0.9628906,0.95285034,0.0028011412,8,0,0
6200,0.96118164,0.95306015,0.0027272685,8,0,0
6300,0.95825195,0.952549,0.0029275783,8,0,0
6400,0.9584961,0.952528,0.0028705683,8,0,0
6500,0.96313477,0.9528713,0.0027152759,8,0,0
6600,0.95874023,0.9524727,0.0027117936,8,0,0
6700,0.95874023,0.9518795,0.0027487578,8,0,0
6800,0.95825195,0.9520683,0.003073517,8,0,0
6900,0.9589844,0.952652,0.0029306014,8,0,0
7000,0.95874023,0.9523525,0.0029664554,8,0,0
7100,0.95996094,0.9526348,0.0029638985,8,0,0
7200,0.95874023,0.9525795,0.002687191,8,0,0
7300,0.9602051,0.9525242,0.0029903958,8,0,0
7400,0.96191406,0.95298004,0.0029784653,8,0,0
7500,0.96118164,0.9528465,0.003308693,8,0,0
7600,0.9597168,0.95222855,0.003082292,8,0,0
7700,0.96118164,0.95272446,0.0030339651,8,0,0
7800,0.95947266,0.9526043,0.002695649,8,0,0
7900,0.9609375,0.95248795,0.0029701355,8,0,0
8000,0.96069336,0.9528599,0.0030896731,8,0,0
8100,0.9592285,0.9525318,0.002718923,8,0,0
8200,0.96069336,0.952919,0.0031011682,8,0,0
8300,0.9609375,0.9525871,0.0026675155,8,0,0
8400,0.9602051,0.9530029,0.002958002,8,0,0
8500,0.95874023,0.95300484,0.0027754214,8,0,0
8600,0.96118164,0.95238495,0.002914858,8,0,0
8700,0.96118164,0.9526272,0.002862217,8,0,0
8800,0.9597168,0.95282936,0.0030074373,8,0,0
8900,0.9628906,0.95240784,0.002959379,8,0,0
9000,0.95947266,0.9526081,0.0031376195,8,0,0
