epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.71777344,0.70588493,0.005721501,8,0,0
200,0.79711914,0.78344727,0.005911043,8,0,0
300,0.85839844,0.8454838,0.0056447494,8,0,0
400,0.8913574,0.87906456,0.0050904555,8,0,0
500,0.9099121,0.8995571,0.004975912,8,0,0
600,0.9326172,0.92056084,0.0039531887,8,0,0
700,0.9470215,0.9378052,0.003663762,8,0,0
800,0.95581055,0.94610596,0.0031323286,8,0,0
900,0.95654297,0.9490471,0.0028301429,8,0,0
1000,0.96069336,0.95334625,0.002681979,8,0,0
1100,0.95996094,0.95381546,0.0027814743,8,0,0
1200,0.9602051,0.95342636,0.0030797792,8,0,0
1300,0.95996094,0.95401573,0.002664062,8,0,0
1400,0.96191406,0.95434,0.00269117,8,0,0
1500,0.9628906,0.95731735,0.0024659089,8,0,0
1600,0.9682617,0.96107674,0.0027046704,8,0,0
1700,0.98217773,0.97546005,0.0026068843,8,0,0
1800,0.9885254,0.983305,0.0020472088,8,0,0
1900,0.9904785,0.98575974,0.0019036486,8,0,0
2000,0.99487305,0.9907799,0.0015360635,8,0,0
2100,0.9953613,0.99176025,0.001437245,8,0,0
2200,0.9951172,0.99155235,0.0012723816,8,0,0
2300,0.99438477,0.9916382,0.0012810115,8,0,0
2400,0.9995117,0.9985752,0.00053364533,8,0,0
2500,1.0,1.0,0.0,8,0,0
2600,1.0,1.0,0.0,8,0,0
2700,1.0,1.0,0.0,8,0,0
2800,1.0,1.0,0.0,8,0,0
2900,1.0,1.0,0.0,8,0,0
3000,1.0,1.0,0.0,8,0,0
3100,1.0,1.0,0.0,8,0,0
3200,1.0,1.0,0.0,8,0,0
3300,1.0,1.0,0.0,8,0,0
3400,1.0,1.0,0.0,8,0,0
3500,1.0,1.0,0.0,8,0,0
3600,1.0,1.0,0.0,8,0,0
3700,1.0,1.0,0.0,8,0,0
3800,1.0,1.0,0.0,8,0,0
3900,1.0,1.0,0.0,8,0,0
4000,1.0,1.0,0.0,8,0,0
4100,1.0,1.0,0.0,8,0,0
4200,1.0,1.0,0.0,8,0,0
4300,1.0,1.0,0.0,8,0,0
