epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.7138672,0.69996834,0.0059728897,8,0,0
200,0.79418945,0.7777386,0.0061859754,8,0,0
300,0.85791016,0.84176445,0.0060608992,8,0,0
400,0.89208984,0.8791847,0.005193526,8,0,0
500,0.91259766,0.9027176,0.0037187566,8,0,0
600,0.93530273,0.9247551,0.004101335,8,0,0
700,0.95654297,0.94885254,0.0029791784,8,0,0
800,0.9626465,0.95490646,0.0030223744,8,0,0
900,0.9729004,0.9666977,0.0026389214,8,0,0
1000,0.97680664,0.9719162,0.0023359281,8,0,0
1100,0.9892578,0.9842434,0.0020092765,8,0,0
1200,0.9946289,0.9916935,0.0013764966,8,0,0
1300,0.99975586,0.9990406,0.00038624162,8,0,0
1400,1.0,1.0,0.0,8,0,0
1500,1.0,1.0,0.0,8,0,0
1600,1.0,1.0,0.0,8,0,0
1700,1.0,1.0,0.0,8,0,0
1800,1.0,1.0,0.0,8,0,0
1900,1.0,1.0,0.0,8,0,0
2000,1.0,1.0,0.0,8,0,0
2100,1.0,1.0,0.0,8,0,0
2200,1.0,1.0,0.0,8,0,0
2300,1.0,1.0,0.0,8,0,0
2400,1.0,1.0,0.0,8,0,0
2500,1.0,1.0,0.0,8,0,0
2600,1.0,1.0,0.0,8,0,0
2700,1.0,1.0,0.0,8,0,0
2800,1.0,1.0,0.0,8,0,0
2900,1.0,1.0,0.0,8,0,0
3000,1.0,1.0,0.0,8,0,0
3100,1.0,1.0,0.0,8,0,0
3200,1.0,1.0,0.0,8,0,0
3300,1.0,1.0,0.0,8,0,0
3400,1.0,1.0,0.0,8,0,0
3500,1.0,1.0,0.0,8,0,0
3600,1.0,1.0,0.0,8,0,0
3700,1.0,1.0,0.0,8,0,0
3800,1.0,1.0,0.0,8,0,0
3900,1.0,1.0,0.0,8,0,0
4000,1.0,1.0,0.0,8,0,0
4100,1.0,1.0,0.0,8,0,0
4200,1.0,1.0,0.0,8,0,0
4300,1.0,1.0,0.0,8,0,0
4400,1.0,1.0,0.0,8,0,0
4500,1.0,1.0,0.0,8,0,0
4600,1.0,1.0,0.0,8,0,0
4700,1.0,1.0,0.0,8,0,0
4800,1.0,1.0,0.0,8,0,0
4900,1.0,1.0,0.0,8,0,0
5000,1.0,1.0,0.0,8,0,0
5100,1.0,1.0,0.0,8,0,0
5200,1.0,1.0,0.0,8,0,0
5300,1.0,1.0,0.0,8,0,0
5400,1.0,1.0,0.0,8,0,0
5500,1.0,1.0,0.0,8,0,0
5600,1.0,1.0,0.0,8,0,0
5700,1.0,1.0,0.0,8,0,0
5800,1.0,1.0,0.0,8,0,0
5900,1.0,1.0,0.0,8,0,0
6000,1.0,1.0,0.0,8,0,0
6100,1.0,1.0,0.0,8,0,0
6200,1.0,1.0,0.0,8,0,0
6300,1.0,1.0,0.0,8,0,0
6400,1.0,1.0,0.0,8,0,0
6500,1.0,1.0,0.0,8,0,0
6600,1.0,1.0,0.0,8,0,0
6700,1.0,1.0,0.0,8,0,0
6800,1.0,1.0,0.0,8,0,0
6900,1.0,1.0,0.0,8,0,0
7000,1.0,1.0,0.0,8,0,0
7100,1.0,1.0,0.0,8,0,0
7200,1.0,1.0,0.0,8,0,0
7300,1.0,1.0,0.0,8,0,0
7400,1.0,1.0,0.0,8,0,0
7500,1.0,1.0,0.0,8,0,0
7600,1.0,1.0,0.0,8,0,0
7700,1.0,1.0,0.0,8,0,0
7800,1.0,1.0,0.0,8,0,0
7900,1.0,1.0,0.0,8,0,0
8000,1.0,1.0,0.0,8,0,0
8100,1.0,1.0,0.0,8,0,0
8200,1.0,1.0,0.0,8,0,0
8300,1.0,1.0,0.0,8,0,0
8400,1.0,1.0,0.0,8,0,0
8500,1.0,1.0,0.0,8,0,0
8600,1.0,1.0,0.0,8,0,0
8700,1.0,1.0,0.0,8,0,0
8800,1.0,1.0,0.0,8,0,0
8900,1.0,1.0,0.0,8,0,0
9000,1.0,1.0,0.0,8,0,0
9100,1.0,1.0,0.0,8,0,0
9200,1.0,1.0,0.0,8,0,0
9300,1.0,1.0,0.0,8,0,0
9400,1.0,1.0,0.0,8,0,0
9500,1.0,1.0,0.0,8,0,0
9600,1.0,1.0,0.0,8,0,0
9700,1.0,1.0,0.0,8,0,0
9800,1.0,1.0,0.0,8,0,0
9900,1.0,1.0,0.0,8,0,0
10000,1.0,1.0,0.0,8,0,0
10100,1.0,1.0,0.0,8,0,0
10200,1.0,1.0,0.0,8,0,0
10300,1.0,1.0,0.0,8,0,0
10400,1.0,1.0,0.0,8,0,0
10500,1.0,1.0,0.0,8,0,0
10600,1.0,1.0,0.0,8,0,0
10700,1.0,1.0,0.0,8,0,0
10800,1.0,1.0,0.0,8,0,0
10900,1.0,1.0,0.0,8,0,0
11000,1.0,1.0,0.0,8,0,0
11100,1.0,1.0,0.0,8,0,0
11200,1.0,1.0,0.0,8,0,0
11300,1.0,1.0,0.0,8,0,0
11400,1.0,1.0,0.0,8,0,0
11500,1.0,1.0,0.0,8,0,0
11600,1.0,1.0,0.0,8,0,0
11700,1.0,1.0,0.0,8,0,0
11800,1.0,1.0,0.0,8,0,0
11900,1.0,1.0,0.0,8,0,0
11999,1.0,1.0,0.0,8,0,0
epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.6491699,0.6374302,0.00477198,8,8,0
200,0.7092285,0.69516563,0.005739037,8,8,0
300,0.7426758,0.72824097,0.006271641,8,8,0
400,0.76464844,0.7457619,0.0067355223,8,8,0
500,0.77856445,0.76602936,0.0057681,8,8,0
600,0.79589844,0.78201294,0.0064284974,8,8,0
700,0.80810547,0.79366493,0.005935421,8,8,0
800,0.8273926,0.8111,0.0058857384,8,8,0
900,0.8444824,0.83226585,0.0056771226,8,8,0
1000,0.8535156,0.8398266,0.0047217687,8,8,0
1100,0.8613281,0.8480034,0.0050263857,8,8,0
1200,0.8718262,0.85798645,0.005182757,8,8,0
1300,0.88012695,0.8652096,0.004407317,8,8,0
1400,0.88256836,0.8688202,0.0043053315,8,8,0
1500,0.8796387,0.8698292,0.004375568,8,8,0
1600,0.88549805,0.87524223,0.0039678123,8,8,0
1700,0.8913574,0.8779564,0.0044728015,8,8,0
1800,0.8925781,0.8795357,0.004063265,8,8,0
1900,0.8935547,0.88152885,0.004525176,8,8,0
2000,0.8930664,0.8831806,0.004300271,8,8,0
2100,0.89208984,0.88277245,0.004063972,8,8,0
2200,0.89404297,0.8850708,0.0036622365,8,8,0
2300,0.89624023,0.8847618,0.0043981303,8,8,0
2400,0.89819336,0.8872318,0.00439303,8,8,0
2500,0.89624023,0.8870239,0.00371463,8,8,0
2600,0.8972168,0.8872051,0.0044226795,8,8,0
2700,0.8972168,0.88802147,0.0041310787,8,8,0
2800,0.8989258,0.8883476,0.0042425035,8,8,0
2900,0.89868164,0.88848686,0.004229382,8,8,0
3000,0.9016113,0.8899555,0.004025342,8,8,0
3100,0.89941406,0.88929176,0.0040285396,8,8,0
3200,0.9001465,0.8902397,0.0039097783,8,8,0
3300,0.90283203,0.8907223,0.0045934115,8,8,0
3400,0.90063477,0.8913498,0.0039626975,8,8,0
3500,0.9038086,0.8913746,0.004879109,8,8,0
3600,0.9030762,0.89538956,0.003997102,8,8,0
3700,0.9086914,0.8961086,0.0044854507,8,8,0
3800,0.9074707,0.89678,0.0042835255,8,8,0
3900,0.9086914,0.89766693,0.0044236216,8,8,0
4000,0.9116211,0.89959526,0.004302788,8,8,0
4100,0.91137695,0.901495,0.0037711088,8,8,0
4200,0.9121094,0.90283203,0.0038104225,8,8,0
4300,0.91381836,0.9026718,0.004195078,8,8,0
4400,0.91552734,0.9031277,0.004296009,8,8,0
4500,0.91381836,0.90316963,0.004507325,8,8,0
4600,0.91674805,0.9032383,0.004876158,8,8,0
4700,0.9145508,0.9032612,0.004525021,8,8,0
4800,0.9157715,0.9025936,0.0045095296,8,8,0
4900,0.91503906,0.90296745,0.004698102,8,8,0
5000,0.91186523,0.90330505,0.003757103,8,8,0
5100,0.91503906,0.90330887,0.004186013,8,8,0
5200,0.91308594,0.9030647,0.0041551962,8,8,0
5300,0.9133301,0.90322685,0.004195486,8,8,0
5400,0.9152832,0.9024582,0.004568568,8,8,0
5500,0.91308594,0.9032345,0.0040727635,8,8,0
5600,0.91625977,0.9031086,0.0037783138,8,8,0
5700,0.9133301,0.9026165,0.0039386144,8,8,0
5800,0.91308594,0.9029503,0.0043309145,8,8,0
5900,0.9140625,0.9029331,0.0041983053,8,8,0
6000,0.9182129,0.90322113,0.004277955,8,8,0
6100,0.9135742,0.90298843,0.004471188,8,8,0
6200,0.91430664,0.90273285,0.004771727,8,8,0
6300,0.91186523,0.90252686,0.003963645,8,8,0
6400,0.91308594,0.90273094,0.0039018993,8,8,0
6500,0.9140625,0.9031048,0.004418163,8,8,0
6600,0.91259766,0.9034023,0.004257314,8,8,0
6700,0.9160156,0.9034519,0.004317876,8,8,0
6800,0.9133301,0.9025116,0.0043082507,8,8,0
6900,0.91430664,0.9035015,0.0042722696,8,8,0
7000,0.9172363,0.9027672,0.0043152417,8,8,0
7100,0.91674805,0.90275,0.00447114,8,8,0
7200,0.9135742,0.9021683,0.0043897536,8,8,0
7300,0.9169922,0.9026489,0.004395697,8,8,0
7400,0.91552734,0.90293884,0.004252332,8,8,0
7500,0.9121094,0.9026737,0.00392238,8,8,0
7600,0.9121094,0.9031048,0.004047765,8,8,0
7700,0.91259766,0.90270233,0.004180901,8,8,0
7800,0.9121094,0.90268517,0.0044064187,8,8,0
7900,0.9135742,0.9025974,0.004373436,8,8,0
8000,0.9128418,0.9030361,0.0039222836,8,8,0
8100,0.9116211,0.9026642,0.0038630662,8,8,0
8200,0.91186523,0.9019947,0.004470245,8,8,0
8300,0.91259766,0.90293884,0.004479618,8,8,0
8400,0.9147949,0.90270996,0.004095159,8,8,0
8500,0.9135742,0.90281296,0.0041577453,8,8,0
8600,0.9104004,0.9023361,0.004223013,8,8,0
8700,0.91137695,0.902401,0.0038491467,8,8,0
8800,0.91430664,0.90275,0.0040871087,8,8,0
8900,0.91381836,0.90275,0.004039434,8,8,0
9000,0.91381836,0.90280914,0.0039936583,8,8,0
9100,0.91259766,0.90265465,0.0038680008,8,8,0
9200,0.91186523,0.9026489,0.004534608,8,8,0
9300,0.91430664,0.9027958,0.0044514975,8,8,0
9400,0.9135742,0.90296745,0.0045676366,8,8,0
9500,0.9135742,0.9023285,0.004277662,8,8,0
9600,0.91430664,0.90276146,0.004526915,8,8,0
9700,0.9199219,0.90353394,0.0040875333,8,8,0
9800,0.9145508,0.9026642,0.0046947254,8,8,0
9900,0.91381836,0.9024315,0.004229381,8,8,0
10000,0.91381836,0.90342903,0.0041738637,8,8,0
10100,0.9147949,0.9023323,0.0047279457,8,8,0
10200,0.9172363,0.903038,0.0044121323,8,8,0
10300,0.9128418,0.9031334,0.0040711504,8,8,0
10400,0.91308594,0.90338516,0.0041134804,8,8,0
10500,0.9140625,0.90336037,0.0043481686,8,8,0
10600,0.9128418,0.9022827,0.0041436534,8,8,0
10700,0.91625977,0.90200806,0.004173997,8,8,0
10800,0.91503906,0.9024582,0.0037695,8,8,0
10900,0.9152832,0.90273666,0.0042715054,8,8,0
11000,0.9145508,0.90333366,0.0039345557,8,8,0
11100,0.9152832,0.90284157,0.004155145,8,8,0
11200,0.9116211,0.90317345,0.0038447713,8,8,0
11300,0.9128418,0.90286446,0.0042807763,8,8,0
11400,0.9160156,0.9020214,0.0042532277,8,8,0
11500,0.9108887,0.9028282,0.0039844997,8,8,0
11600,0.9147949,0.90236855,0.004194456,8,8,0
11700,0.9121094,0.90275383,0.004388798,8,8,0
11800,0.9135742,0.9028778,0.0042410376,8,8,0
11900,0.9123535,0.90273285,0.0039987853,8,8,0
11999,0.91308594,0.90254784,0.00391087,8,8,0
epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.51660156,0.50030327,0.0074756695,8,16,0
200,0.70751953,0.6943264,0.0049424726,8,16,0
300,0.71484375,0.70202255,0.005867236,8,16,0
400,0.7265625,0.7114544,0.0056924582,8,16,0
500,0.7307129,0.7155018,0.005907462,8,16,0
600,0.7421875,0.72382164,0.006022891,8,16,0
700,0.7602539,0.74669456,0.005205184,8,16,0
800,0.7687988,0.7515106,0.006249084,8,16,0
900,0.78100586,0.7676792,0.005249514,8,16,0
1000,0.7907715,0.7800617,0.0054892097,8,16,0
1100,0.8100586,0.79122543,0.006008688,8,16,0
1200,0.81274414,0.80350685,0.004816538,8,16,0
1300,0.8220215,0.80724716,0.0055428674,8,16,0
1400,0.8234863,0.80880547,0.005863059,8,16,0
1500,0.8288574,0.81645775,0.0054728366,8,16,0
1600,0.8366699,0.8246498,0.0052230973,8,16,0
1700,0.84643555,0.8313999,0.005214982,8,16,0
1800,0.8466797,0.83621216,0.0047338656,8,16,0
1900,0.8515625,0.83735657,0.0047264574,8,16,0
2000,0.8544922,0.8411503,0.0047955913,8,16,0
2100,0.85302734,0.84329414,0.00465104,8,16,0
2200,0.8562012,0.8442726,0.0044225994,8,16,0
2300,0.85668945,0.8448963,0.004481572,8,16,0
2400,0.85839844,0.8473587,0.0043250998,8,16,0
2500,0.85913086,0.84833527,0.0042306143,8,16,0
2600,0.8601074,0.8479538,0.004489398,8,16,0
2700,0.8640137,0.8489075,0.004772465,8,16,0
2800,0.8581543,0.8486328,0.0042562997,8,16,0
2900,0.8598633,0.8492317,0.004595592,8,16,0
3000,0.86206055,0.84944344,0.0044729784,8,16,0
3100,0.86083984,0.84954834,0.00450752,8,16,0
3200,0.85717773,0.8487568,0.004137467,8,16,0
3300,0.8625488,0.8503666,0.00482871,8,16,0
3400,0.859375,0.85061455,0.0041845394,8,16,0
3500,0.86328125,0.851099,0.0041889017,8,16,0
3600,0.8642578,0.8512459,0.0044573797,8,16,0
3700,0.8630371,0.8516464,0.004351772,8,16,0
3800,0.8618164,0.851305,0.0045225057,8,16,0
3900,0.86279297,0.8516178,0.004621495,8,16,0
4000,0.86450195,0.8515301,0.004509623,8,16,0
