epoch,score_best,score_avg,score_std
10,3.4395227,3.0557196,0.18809918
20,3.866429,3.5287254,0.117708445
30,4.6929336,4.1583138,0.20955631
40,5.507215,4.9179096,0.22789332
50,6.440839,5.698705,0.24876122
60,6.954566,6.2483635,0.28299415
70,7.616225,6.9999676,0.28643695
80,8.650719,7.999358,0.38217676
90,9.885626,8.990824,0.40993264
100,10.406668,9.621836,0.39157417
110,11.037346,10.037245,0.39425352
120,11.35499,10.442673,0.42728132
130,11.874899,10.670513,0.43068126
140,12.088586,11.055643,0.4553187
150,12.654158,11.446975,0.46702594
160,12.8153105,11.566293,0.4208231
170,12.74938,11.741491,0.44722444
180,13.15161,11.96673,0.44909525
190,13.347396,12.002304,0.5123324
200,13.188905,12.187621,0.44810343
210,13.754187,12.363261,0.4328889
220,13.313263,12.38529,0.41397735
230,13.643926,12.47518,0.441363
240,13.638895,12.63151,0.45189536
250,13.878187,12.656056,0.4854235
260,14.023972,12.734121,0.46669915
270,13.97533,12.874252,0.45421264
280,14.033016,12.846205,0.4163935
290,13.88612,13.000036,0.47640395
300,14.056425,13.009864,0.48420468
310,14.219086,13.03643,0.46674398
320,14.279342,13.129644,0.45075175
330,14.414951,13.2523,0.43221036
340,14.244349,13.231744,0.41350803
350,14.664149,13.330404,0.44492963
360,14.328836,13.363598,0.40645736
370,15.080462,13.503584,0.47998706
380,14.652534,13.474276,0.4775811
390,14.598625,13.497762,0.4666754
400,14.716268,13.625009,0.4786237
410,15.124092,13.572463,0.4591548
420,14.699076,13.721998,0.42782238
430,14.895049,13.703085,0.4680165
440,14.945995,13.803648,0.3880987
450,14.741452,13.807903,0.4113921
460,15.029398,13.86331,0.4912777
470,14.707587,13.854074,0.37971145
480,14.852161,13.905677,0.36966333
490,14.943667,13.948281,0.38774088
500,14.988065,13.989252,0.3591187
510,15.069239,14.039027,0.45266062
520,14.97326,14.008023,0.40213507
530,15.17503,14.1130085,0.39265165
540,15.362389,14.072943,0.43916377
550,14.987994,14.077066,0.43545794
560,15.652611,14.184166,0.4311802
570,15.259649,14.192574,0.3684253
580,15.458002,14.281879,0.4383974
590,14.996514,14.245517,0.38718256
600,15.194973,14.258205,0.36860594
610,15.547868,14.340752,0.41637984
620,15.379572,14.385077,0.35783908
630,15.440357,14.346972,0.41912585
640,15.553006,14.363798,0.4193074
650,15.676838,14.314435,0.44885772
660,15.805861,14.362213,0.47167853
670,15.676586,14.375996,0.45011643
680,15.353654,14.435683,0.39956158
690,15.574748,14.4675045,0.39483455
700,15.400408,14.446394,0.38057196
710,15.702085,14.49567,0.4384022
720,15.609124,14.471236,0.3807862
730,15.802246,14.53792,0.417813
740,15.951142,14.539195,0.4311367
750,15.732231,14.608213,0.4648316
760,15.758487,14.644578,0.43323883
770,15.770681,14.630217,0.4024008
780,16.102806,14.621893,0.44595093
790,15.843678,14.588368,0.4973912
800,15.63962,14.654993,0.43998227
810,15.490409,14.5553665,0.4161683
820,15.526274,14.653843,0.40747058
830,15.905305,14.68228,0.42186177
840,15.899311,14.715368,0.42155108
850,15.48349,14.661329,0.37123632
860,16.140207,14.731117,0.45547885
870,15.850796,14.725226,0.41790465
880,15.90742,14.80396,0.41045785
890,15.763075,14.687726,0.42249027
900,15.741589,14.772202,0.39812505
910,15.963075,14.743061,0.41591793
920,15.712893,14.7547,0.49704674
930,15.800369,14.793968,0.38966975
940,16.25573,14.861664,0.45480838
950,15.995186,14.824224,0.4142845
960,16.281462,14.931701,0.42029512
970,15.98665,14.879578,0.46227202
980,15.942011,14.9646015,0.41304994
990,15.934333,14.928345,0.37979478
1000,15.997512,14.863861,0.43697652
1010,16.074787,14.916248,0.42787185
1020,16.044039,14.932078,0.4091106
1030,16.050547,14.975349,0.41429818
1040,16.067028,14.956566,0.36791402
1050,16.138859,14.918776,0.40291145
1060,16.04943,14.971523,0.43702522
1070,16.016575,14.96347,0.36378345
1080,16.204447,15.006168,0.39581287
1090,16.098593,15.022667,0.3673453
1100,15.854755,14.963242,0.37468
1110,16.240902,14.995272,0.40712273
1120,16.1921,15.048311,0.38667336
1130,16.121693,15.026772,0.4297991
1140,16.235384,15.064675,0.38754186
1150,15.838537,15.003117,0.3632782
1160,16.306257,15.052109,0.40989584
1170,15.995976,15.10848,0.4158988
1180,15.955795,15.046558,0.38950065
1190,16.264145,15.085096,0.44169402
1200,16.07952,15.041059,0.426662
1210,16.157263,15.108808,0.4584962
1220,15.984537,15.08044,0.37529412
1230,16.357296,15.115115,0.4182769
1240,16.01715,15.0997,0.43578088
1250,16.274517,15.168722,0.40253502
1260,16.013578,15.136372,0.41260445
1270,15.956647,15.139948,0.4177739
1280,16.127104,15.186163,0.41596425
1290,16.18334,15.166148,0.43220153
1300,16.212263,15.200607,0.36376813
1310,16.276588,15.21879,0.44896853
1320,16.099771,15.289777,0.39372787
1330,16.586544,15.119236,0.4076462
1340,16.046791,15.217149,0.40016362
1350,16.368523,15.228184,0.44463855
1360,16.06643,15.180023,0.44166812
1370,16.167097,15.209078,0.40772042
1380,16.3659,15.183728,0.4575435
1390,16.293955,15.228113,0.38094172
1400,16.183075,15.262424,0.41951394
1410,16.299444,15.238155,0.41606408
1420,16.05789,15.238836,0.38337937
1430,16.18089,15.219855,0.40534657
1440,16.370178,15.226071,0.39955568
1450,16.072912,15.29214,0.35948414
1460,16.120472,15.277449,0.39842233
1470,16.247883,15.218774,0.44966915
1480,16.212011,15.261115,0.39314774
1490,16.1777,15.306472,0.31482273
1500,16.227482,15.271225,0.37480736
1510,16.305664,15.301161,0.40869987
1520,16.543089,15.290125,0.43107167
1530,16.457764,15.405672,0.40707898
1540,16.118748,15.337269,0.37626225
1550,16.432562,15.337623,0.3429752
1560,16.173872,15.364624,0.37246004
1570,16.680473,15.351952,0.3941473
1580,16.81264,15.380333,0.47442448
1590,16.712032,15.34902,0.40741447
