epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.5168457,0.4978695,0.007322611,8,0,0
200,0.5161133,0.49949455,0.007318124,8,0,0
300,0.52075195,0.50117874,0.008138249,8,0,0
400,0.5185547,0.4997959,0.007457524,8,0,0
500,0.5168457,0.500967,0.00717393,8,0,0
600,0.51904297,0.49967003,0.0077217673,8,0,0
700,0.51904297,0.5002861,0.007587906,8,0,0
800,0.5227051,0.5013161,0.008081122,8,0,0
900,0.5192871,0.49992752,0.008703469,8,0,0
1000,0.5192871,0.5005436,0.007866803,8,0,0
1100,0.52075195,0.49957848,0.0075720325,8,0,0
1200,0.5241699,0.49949837,0.008268986,8,0,0
1300,0.52001953,0.4995308,0.008053553,8,0,0
1400,0.5209961,0.5001259,0.0067065097,8,0,0
1500,0.52441406,0.4998455,0.0077319685,8,0,0
1600,0.5168457,0.49894714,0.007419397,8,0,0
1700,0.5175781,0.49923515,0.008365512,8,0,0
1800,0.5217285,0.50017166,0.008242083,8,0,0
1900,0.52124023,0.49843025,0.008277281,8,0,0
2000,0.5148926,0.4991932,0.0074769035,8,0,0
2100,0.5180664,0.49952698,0.007721716,8,0,0
2200,0.51538086,0.49935532,0.007274377,8,0,0
2300,0.5180664,0.49931335,0.008258078,8,0,0
2400,0.52319336,0.49972725,0.008551601,8,0,0
2500,0.5214844,0.50086975,0.008829541,8,0,0
2600,0.51708984,0.49965096,0.0075840745,8,0,0
2700,0.5161133,0.49995995,0.008366259,8,0,0
2800,0.5234375,0.499115,0.007977355,8,0,0
2900,0.5187988,0.5003147,0.007618227,8,0,0
3000,0.51660156,0.49969864,0.0075942473,8,0,0
3100,0.5239258,0.5007839,0.008775842,8,0,0
3200,0.515625,0.5012646,0.008215094,8,0,0
3300,0.5214844,0.49996567,0.0081468625,8,0,0
3400,0.517334,0.5004673,0.007839575,8,0,0
3500,0.5192871,0.50073624,0.008071479,8,0,0
3600,0.52124023,0.5001354,0.008259154,8,0,0
3700,0.5148926,0.49877167,0.007036664,8,0,0
3800,0.52490234,0.49974823,0.008254649,8,0,0
3900,0.5214844,0.49993134,0.008669997,8,0,0
4000,0.5180664,0.49955368,0.0071454877,8,0,0
4100,0.52490234,0.50038147,0.007545174,8,0,0
4200,0.5241699,0.5017853,0.007311158,8,0,0
4300,0.51782227,0.49962807,0.008409737,8,0,0
4400,0.52075195,0.49942207,0.007890483,8,0,0
4500,0.51953125,0.5001335,0.0086933775,8,0,0
4600,0.51904297,0.49995804,0.0071622813,8,0,0
4700,0.5246582,0.50086594,0.0074530933,8,0,0
4800,0.51586914,0.50053024,0.0075891945,8,0,0
4900,0.5151367,0.4988613,0.0071533155,8,0,0
5000,0.5222168,0.49962425,0.007539381,8,0,0
5100,0.5222168,0.5001621,0.0076812985,8,0,0
5200,0.5234375,0.4998455,0.007745748,8,0,0
5300,0.517334,0.49926376,0.007973208,8,0,0
5400,0.5283203,0.5000458,0.008336872,8,0,0
5500,0.52197266,0.4994297,0.0072610215,8,0,0
5600,0.5187988,0.5007038,0.0077797454,8,0,0
5700,0.5205078,0.5009899,0.0075880415,8,0,0
5800,0.51660156,0.4994583,0.0073932535,8,0,0
5900,0.5234375,0.49974442,0.007915701,8,0,0
6000,0.5229492,0.5005226,0.0074239755,8,0,0
6100,0.52441406,0.5012245,0.0077236593,8,0,0
6200,0.5209961,0.49884796,0.007775034,8,0,0
6300,0.51953125,0.5008564,0.008332975,8,0,0
6400,0.52612305,0.5001507,0.00819203,8,0,0
6500,0.5205078,0.5003433,0.007893585,8,0,0
6600,0.5192871,0.50074387,0.007849833,8,0,0
6700,0.51953125,0.49937057,0.007573501,8,0,0
6800,0.51953125,0.49991608,0.007198555,8,0,0
6900,0.5168457,0.5001106,0.0075578834,8,0,0
7000,0.5205078,0.4987297,0.007536072,8,0,0
7100,0.517334,0.5001354,0.007199161,8,0,0
7200,0.51708984,0.5001049,0.007621437,8,0,0
7300,0.53271484,0.5004864,0.0076357084,8,0,0
7400,0.5192871,0.50032234,0.00819702,8,0,0
7500,0.5209961,0.50008583,0.0071906038,8,0,0
7600,0.5161133,0.5001068,0.007285317,8,0,0
7700,0.52905273,0.49892807,0.008022712,8,0,0
7800,0.5202637,0.4991436,0.0070704687,8,0,0
7900,0.5209961,0.50027657,0.006984084,8,0,0
8000,0.52319336,0.5000515,0.0076734363,8,0,0
8100,0.5187988,0.5000286,0.0077531235,8,0,0
8200,0.51953125,0.5000038,0.007632444,8,0,0
8300,0.5214844,0.50030327,0.007241336,8,0,0
8400,0.5192871,0.50048065,0.008186503,8,0,0
8500,0.5227051,0.5004711,0.0072538285,8,0,0
8600,0.52246094,0.5010681,0.0072880806,8,0,0
8700,0.52368164,0.5000477,0.0080967145,8,0,0
8800,0.70751953,0.6921749,0.005431536,8,0,0
8900,0.7788086,0.76011467,0.0065750815,8,0,0
9000,0.8105469,0.79753685,0.0059818462,8,0,0
9100,0.8432617,0.83075905,0.0056643332,8,0,0
9200,0.8811035,0.8645382,0.0055596535,8,0,0
9300,0.88916016,0.87389374,0.0055553676,8,0,0
9400,0.89624023,0.88529396,0.0046129795,8,0,0
9500,0.90478516,0.89585686,0.004501387,8,0,0
9600,0.9223633,0.91015816,0.0044786553,8,0,0
9700,0.93310547,0.9243946,0.0034720276,8,0,0
9800,0.93847656,0.93045235,0.0035559682,8,0,0
9900,0.9440918,0.93585014,0.0036242427,8,0,0
10000,0.9499512,0.93694687,0.003234789,8,0,0
10100,0.94555664,0.9369011,0.003352333,8,0,0
10200,0.9458008,0.9378128,0.0030204598,8,0,0
10300,0.9460449,0.93790436,0.0034065652,8,0,0
10400,0.94750977,0.9387474,0.0031514824,8,0,0
10500,0.95336914,0.9444485,0.003054488,8,0,0
10600,0.9538574,0.9457321,0.0032505072,8,0,0
10700,0.95458984,0.94641304,0.0028824161,8,0,0
10800,0.954834,0.947628,0.003026012,8,0,0
10900,0.9650879,0.9586029,0.0026686308,8,0,0
11000,0.9772949,0.96803474,0.0029386037,8,0,0
11100,0.98461914,0.9770317,0.0026853057,8,0,0
11200,0.99121094,0.98612404,0.0019375122,8,0,0
11300,0.99194336,0.9877777,0.0019300408,8,0,0
11400,0.9987793,0.9970932,0.00080362556,8,0,0
11500,0.9995117,0.9981537,0.00069372973,8,0,0
11600,0.9995117,0.9980297,0.00070862815,8,0,0
11700,1.0,1.0,0.0,8,0,0
11800,1.0,1.0,0.0,8,0,0
11900,1.0,1.0,0.0,8,0,0
11999,1.0,1.0,0.0,8,0,0
epoch,score_best,score_avg,score_std,seq_length,latency,repeat_id
100,0.5168457,0.4978695,0.007322611,8,8,0
200,0.5161133,0.49949455,0.007318124,8,8,0
300,0.52075195,0.50117874,0.008138249,8,8,0
400,0.5185547,0.4997959,0.007457524,8,8,0
500,0.5168457,0.500967,0.00717393,8,8,0
600,0.51904297,0.49967003,0.0077217673,8,8,0
700,0.51904297,0.5002861,0.007587906,8,8,0
800,0.5227051,0.5013161,0.008081122,8,8,0
900,0.5192871,0.49992752,0.008703469,8,8,0
1000,0.5192871,0.5005436,0.007866803,8,8,0
1100,0.52075195,0.49957848,0.0075720325,8,8,0
1200,0.5241699,0.49949837,0.008268986,8,8,0
1300,0.52001953,0.4995308,0.008053553,8,8,0
1400,0.5209961,0.5001259,0.0067065097,8,8,0
1500,0.52441406,0.4998455,0.0077319685,8,8,0
1600,0.5168457,0.49894714,0.007419397,8,8,0
1700,0.5175781,0.49923515,0.008365512,8,8,0
1800,0.5217285,0.50017166,0.008242083,8,8,0
1900,0.52124023,0.49843025,0.008277281,8,8,0
2000,0.5148926,0.4991932,0.0074769035,8,8,0
2100,0.5180664,0.49952698,0.007721716,8,8,0
2200,0.51538086,0.49935532,0.007274377,8,8,0
2300,0.5180664,0.49931335,0.008258078,8,8,0
2400,0.52319336,0.49972725,0.008551601,8,8,0
2500,0.5214844,0.50086975,0.008829541,8,8,0
2600,0.51708984,0.49965096,0.0075840745,8,8,0
2700,0.5161133,0.49995995,0.008366259,8,8,0
2800,0.5234375,0.499115,0.007977355,8,8,0
2900,0.5187988,0.5003147,0.007618227,8,8,0
3000,0.51660156,0.49969864,0.0075942473,8,8,0
3100,0.5239258,0.5007839,0.008775842,8,8,0
3200,0.515625,0.5012646,0.008215094,8,8,0
3300,0.5214844,0.49996567,0.0081468625,8,8,0
